shuffle_id,CRRP_Allocation_global_mean,CRRP_Flexibility_global_mean,CRRP_Residual_global_mean,CRRP_Contrast_global_mean,CRRP_Switching_global_mean,stability_margin,stability_margin_obs_tha,stability_margin_obs_bg,stability_margin_obs_cb,E_Pobs_tha,E_Pobs_bg,E_Pobs_cb,E_cort,C_reg,E_g_update
0,0.4352679284396348,0.0026892088678630898,4.850044761547948e-06,4.2577979576835414e-06,0.00041101779354182064,-0.005622264810022324,-0.026265117020860353,-0.032052697861926396,-0.0592252959622052,924.8209927894704,1471.2346128654883,2528.368145984789,10694.714714176496,19361.11760029151,0.0013361667692679232
1,0.3636850065424606,0.0024435412329523705,4.664629655686808e-06,4.522493243218552e-06,0.00041344945618045477,-0.005622264810022324,-0.03475970581439887,-0.03845113080538403,-0.059717793358590635,1001.7946974800562,1519.98323579747,2503.4593098452565,14343.886946818853,19363.72126278719,0.0013500994996295376
2,0.3213203602115899,0.0028158362911221337,4.673899133053017e-06,5.5436518229378034e-06,0.0004627504816040187,-0.005622264810022324,-0.03248939922677156,-0.04384221640495891,-0.06703156094129042,957.3512075210064,1536.687197610597,2496.556674042101,11627.795163607929,19362.009282916548,0.0017303928746523521
3,0.4315244565840568,0.003072626699898311,4.958177024943129e-06,5.564529290854626e-06,0.00047960260297362815,-0.005622264810022324,-0.021722182098058797,-0.030851291227093146,-0.045883400149817156,844.7873023406977,1463.0798135756531,2438.7539816397716,12598.296801786724,19362.670227985258,0.0017951642371262528
4,0.38910154609916775,0.002711630876839409,5.0076156813308805e-06,4.7818321547113265e-06,0.0004440742666137587,-0.005622264810022324,-0.023300417266173455,-0.03623597697638183,-0.05188593626507425,912.4162004976234,1497.3657484559294,2399.5746207655034,13270.883397515052,19364.33329103201,0.0015036274695763242
5,0.39163899180550305,0.0032647597283551938,4.899676596638081e-06,5.541059174687835e-06,0.00046937564775568536,-0.005622264810022324,-0.01792870949843483,-0.03693019270301492,-0.06436288234135386,868.9312436855563,1490.9549207968512,2461.5729998137613,13100.56601444314,19363.065428532784,0.0017314572068594166
6,0.38226763741798336,0.003950163757158022,5.190428024936507e-06,5.1772139327022855e-06,0.0004682240584396992,-0.005622264810022324,-0.023148908908463255,-0.03179513317837753,-0.05322709869294801,907.771145018613,1488.9400202217907,2444.252494519309,10834.17162898239,19363.639375111903,0.001772750213987119
7,0.3991095548197823,0.00279672942705294,4.947833774846795e-06,4.687005511787914e-06,0.0004385753224982177,-0.005622264810022324,-0.020589379883273654,-0.030301479539889042,-0.05778613437817866,824.1615947835302,1448.6821345620747,2407.167408403326,11682.626821724649,19361.9964801759,0.0015144998910959862
8,0.4208664298921653,0.0025301821692478876,5.00383624550022e-06,5.021554590545784e-06,0.00045116740387714693,-0.005622264810022324,-0.022339756312781598,-0.03820056105425019,-0.0644623622863479,856.3817581365839,1495.892598932069,2471.153505020919,14592.715678765966,19364.778388768762,0.0015801969007243903
9,0.3801512206788446,0.0041011932630304684,5.3834298873586495e-06,5.408268662888407e-06,0.0004888557758054794,-0.005622264810022324,-0.025329782135082073,-0.03551029099148916,-0.059534790353562836,865.1542522442487,1458.3130229959274,2440.5396284232056,13728.419889411785,19363.26576208126,0.0018609135614919173
10,0.35189906983376973,0.0024668291525850486,4.448165099747316e-06,4.775179646124386e-06,0.0004223140322302196,-0.005622264810022324,-0.029222445776374024,-0.04703924691334039,-0.06025727238590387,1040.839672852935,1597.8059040757064,2520.5067813987216,12790.342462462868,19363.397798563983,0.0014009118541870094
11,0.330572594549421,0.003848326221101317,4.760815636175753e-06,6.118484419806556e-06,0.00049113942553407,-0.005622264810022324,-0.027744673633633872,-0.03994007984155085,-0.057110651603912786,931.8060933423169,1549.5952990467301,2419.1891486450536,12026.86002078464,19362.393799765625,0.0018869522947424493
12,0.44419478255198486,0.0031241898031168502,5.512609471996394e-06,4.881779317783396e-06,0.00047137388209527007,-0.005622264810022324,-0.025045453996955118,-0.03580600015513001,-0.05756374410201633,842.3159214487226,1414.6976241201328,2430.022430214704,12757.700721033269,19363.289656268174,0.0017097896356914916
13,0.39073359294870486,0.005842613950567364,4.892854503271075e-06,4.8591691574905505e-06,0.0004434388912972305,-0.005622264810022324,-0.018787654852917703,-0.028635634984901046,-0.05087071504737871,901.0360593104782,1466.5944614987031,2433.821974424374,15056.629611792829,19366.816518616226,0.00158501400319992
14,0.39389637951379813,0.0033456669830806912,5.381208816284861e-06,5.211054726057226e-06,0.00046441123309053187,-0.005622264810022324,-0.0277826232214707,-0.04044836026737621,-0.053997880127219886,881.9216206402577,1455.7143750526518,2484.340648628222,13125.073257435528,19364.660931611896,0.0016883693994715241
15,0.38243783090759365,0.0031738376962729942,5.0708699455191505e-06,5.492456118323116e-06,0.00047846341483267634,-0.005622264810022324,-0.02950806504609888,-0.039378929944378596,-0.06362453703629614,1007.5361603062616,1529.8261527512275,2516.733090261299,17608.620795029587,19368.684384030646,0.001868154108747733
16,0.3590687753803525,0.002001147459964465,4.644918604875914e-06,4.3994564832132615e-06,0.00040826277080222885,-0.005622264810022324,-0.032060307767866635,-0.04119311668018665,-0.06878129919830789,997.6732775929145,1526.7233165879961,2509.088900421136,13772.33444270789,19361.723941455733,0.0013140120100738205
17,0.3865119737137067,0.0030960108792256694,4.940626280868289e-06,4.265969975122552e-06,0.0004159236784885305,-0.005622264810022324,-0.023899679184742957,-0.031669018045933355,-0.05923063603334453,1010.9936340109255,1503.528925056755,2445.519730545017,9798.880784069564,19361.370568187594,0.001383162893129534
18,0.35312385416072717,0.0036485699243696632,5.266670079280293e-06,4.4562733983833335e-06,0.00043864406683346034,-0.005622264810022324,-0.02360910725215749,-0.028857230280900446,-0.06070582474859407,819.4714288575193,1369.2753219561603,2467.6776311323974,15964.832129380382,19367.429872069282,0.001497564488822286
19,0.32179760543185876,0.002251989899524854,4.2310400255244934e-06,4.546722242782886e-06,0.00039269657908592667,-0.005622264810022324,-0.034746929936374085,-0.03981643865940094,-0.0626304420359301,1028.5250084773354,1570.8759594328828,2486.199480622368,14486.41210156435,19364.955786084378,0.0011916290991036227
20,0.37148516200137477,0.0020127015444484845,4.7591940949511164e-06,4.556879507971234e-06,0.0004213101634042312,-0.005622264810022324,-0.024235040059806236,-0.03582384320778845,-0.06033472049310022,1032.6555891919295,1624.049497076081,2608.9895296487907,13555.668718338258,19364.869347092535,0.001347447195421297
21,0.4088711196971653,0.002871755687058425,5.029760105921186e-06,4.969009269964941e-06,0.0004522384417251219,-0.005622264810022324,-0.023250215844744515,-0.03713301165035648,-0.059629604948213004,984.5558389831211,1563.5786909940266,2546.8648640281567,13861.374265964965,19364.592335710975,0.0015610311937439543
22,0.36849228380846705,0.0030894234910718178,4.886077657628962e-06,4.4134668533293325e-06,0.00041299490034948135,-0.005622264810022324,-0.02422890826297778,-0.02975800729599173,-0.05910600577996792,993.4286818488192,1528.4654655096285,2497.3464290617194,12473.275547623392,19363.043431528466,0.0013417981821325334
23,0.44121425479289156,0.004486276671831083,4.992685130860608e-06,5.508756335599046e-06,0.00047683090883353396,-0.005622264810022324,-0.018395078126117827,-0.039677402048061375,-0.06351101562368468,849.8550188272334,1480.0618667182232,2486.307834966529,11493.20673604688,19360.82803101934,0.0018517770371045867
24,0.3836352313990682,0.004014479311645277,5.456643445810229e-06,5.722640253939635e-06,0.0005063012041922877,-0.005622264810022324,-0.02205544688130517,-0.033013323953637694,-0.05787874555810926,803.2728254465611,1384.5992934044295,2418.6117748920083,12945.843527919958,19364.107998476626,0.001955511182894557
25,0.4361876511471133,0.0040688746901640085,5.401919805561443e-06,5.304381202981282e-06,0.00048360162988156206,-0.005622264810022324,-0.019463768131303058,-0.02818175140771472,-0.05403278215063524,879.6312376690429,1458.6119267866964,2482.598857114177,12611.87071550812,19364.14052945626,0.0018661161763734938
26,0.3157430222541856,0.0028671094296469535,4.750967845168015e-06,5.637087247623281e-06,0.0004637561020947255,-0.005622264810022324,-0.02267414848629347,-0.032294785779099375,-0.05937277813248007,1005.5625896913024,1544.304145534884,2535.66792078133,13586.564582485398,19363.32749781537,0.0017162070362856528
27,0.3458911572349166,0.004000933288047095,5.249151862641623e-06,5.916974058686259e-06,0.0005023858827289638,-0.005622264810022324,-0.02744039094794444,-0.03620348072439741,-0.07000870453894426,886.8200148982014,1447.2107599457381,2505.171101342939,16026.979223876606,19366.876189615483,0.0020171603615224427
28,0.43774867787993443,0.00250952617011409,5.34229937149837e-06,6.16461203147658e-06,0.0005179618077879804,-0.005622264810022324,-0.023798333127638596,-0.036494420084546265,-0.06531665458273629,864.7751639054541,1488.2781488750304,2498.7663787690244,14158.97323319167,19365.08598895788,0.0021234198885544914
